Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Lopik,1h 26m,86,ok,2026-07-26T01:17:36.048590
"3081HS, Rotterdam",Boxtel,1h 28m,88,ok,2026-07-26T01:17:53.082599
"3081HS, Rotterdam",Hendrik-Ido-Ambacht,36m,36,ok,2026-07-26T01:18:10.660712
"3081HS, Rotterdam",Zundert,1h 38m,98,ok,2026-07-26T01:18:27.735520
"3081HS, Rotterdam",Den Helder,2h 36m,156,ok,2026-07-26T01:18:44.934202
"3081HS, Rotterdam",Castricum,1h 44m,104,ok,2026-07-26T01:19:02.052190
"3081HS, Rotterdam",Arnemuiden,1h 46m,106,ok,2026-07-26T01:19:19.227100
"3081HS, Rotterdam",Sliedrecht,54m,54,ok,2026-07-26T01:19:36.401553
"3081HS, Rotterdam",Dalfsen,2h 24m,144,ok,2026-07-26T01:19:53.491840
"3081HS, Rotterdam",Almelo,2h 34m,154,ok,2026-07-26T01:20:10.447163
"3081HS, Rotterdam",Terneuzen,2h 35m,155,ok,2026-07-26T01:20:27.602416
"3081HS, Rotterdam",Best,1h 35m,95,ok,2026-07-26T01:20:44.464537
"3081HS, Rotterdam",Son en Breugel,2h 8m,128,ok,2026-07-26T01:21:18.837734
"3081HS, Rotterdam",Maassluis,50m,50,ok,2026-07-26T01:21:35.988320
"3081HS, Rotterdam",Leidschendam-Voorburg,48m,48,ok,2026-07-26T01:21:53.694236
"3081HS, Rotterdam",Scherpenzeel,2h 7m,127,ok,2026-07-26T01:22:10.969798
"3081HS, Rotterdam",Nijkerk,1h 49m,109,ok,2026-07-26T01:22:27.999360
"3081HS, Rotterdam",Kerkrade,3h 14m,194,ok,2026-07-26T01:22:45.084181
"3081HS, Rotterdam",Gennep,1h 34m,94,ok,2026-07-26T01:23:02.073346
"3081HS, Rotterdam",Veldhoven,2h 8m,128,ok,2026-07-26T01:23:19.219890
"3081HS, Rotterdam",Gemert-Bakel,2h 22m,142,ok,2026-07-26T01:23:36.483019
"3081HS, Rotterdam",Terschelling,4h 54m,294,ok,2026-07-26T01:23:53.782820
"3081HS, Rotterdam",Ravenstein,2h 2m,122,ok,2026-07-26T01:24:10.930601
"3081HS, Rotterdam",Staphorst,3h 11m,191,ok,2026-07-26T01:24:28.079749
"3081HS, Rotterdam",Doetinchem,2h 32m,152,ok,2026-07-26T01:24:45.242170
"3081HS, Rotterdam",Diemen,1h 32m,92,ok,2026-07-26T01:25:02.255043
"3081HS, Rotterdam",Renkum,2h 18m,138,ok,2026-07-26T01:25:19.217662
"3081HS, Rotterdam",Lochem,2h 46m,166,ok,2026-07-26T01:25:36.235803
"3081HS, Rotterdam",Losser,3h 15m,195,ok,2026-07-26T01:25:53.239428
"3081HS, Rotterdam",Coevorden,2h 53m,173,ok,2026-07-26T01:26:10.399300
"3081HS, Rotterdam",Rheden,2h 18m,138,ok,2026-07-26T01:26:27.420503
"3081HS, Rotterdam",Middelharnis,1h 6m,66,ok,2026-07-26T01:26:44.662476
"3081HS, Rotterdam",Heemstede,1h 22m,82,ok,2026-07-26T01:27:01.828963
"3081HS, Rotterdam",Leiderdorp,1h 33m,93,ok,2026-07-26T01:27:19.030608
"3081HS, Rotterdam",Lansingerland,57m,57,ok,2026-07-26T01:27:36.342715
"3081HS, Rotterdam",Halderberge,1h 14m,74,ok,2026-07-26T01:27:53.595151
"3081HS, Rotterdam",Tubbergen,3h 13m,193,ok,2026-07-26T01:28:10.771973
"3081HS, Rotterdam",Smallingerland,1h 10m,70,ok,2026-07-26T01:28:28.146156
"3081HS, Rotterdam",Doesburg,1h 35m,95,ok,2026-07-26T01:29:45.275046
"3081HS, Rotterdam",Pijnacker-Nootdorp,49m,49,ok,2026-07-26T01:30:02.870863
"3081HS, Rotterdam",Assen,2h 50m,170,ok,2026-07-26T01:30:19.810090
"3081HS, Rotterdam",Bronckhorst,1h 41m,101,ok,2026-07-26T01:32:13.845913
"3081HS, Rotterdam",Druten,2h 44m,164,ok,2026-07-26T01:32:48.017081
"3081HS, Rotterdam",Boskoop,1h 9m,69,ok,2026-07-26T01:33:22.218155
"3081HS, Rotterdam",Cranendonck,2h 7m,127,ok,2026-07-26T01:33:39.459427
"3081HS, Rotterdam",Lingewaard,2h 33m,153,ok,2026-07-26T01:34:10.945608
"3081HS, Rotterdam",Maurik,2h 16m,136,ok,2026-07-26T01:34:27.911720
"3081HS, Rotterdam",Simpelveld,3h 38m,218,ok,2026-07-26T01:34:45.077631
"3081HS, Rotterdam",Warmond,1h 30m,90,ok,2026-07-26T01:35:16.520201
"3081HS, Rotterdam",Hardinxveld-Giessendam,57m,57,ok,2026-07-26T01:35:48.575095
"3081HS, Rotterdam",Putte,2h 4m,124,ok,2026-07-26T01:36:22.800917
"3081HS, Rotterdam",Moerdijk,1h 40m,100,ok,2026-07-26T01:37:11.285866
"3081HS, Rotterdam",Woensdrecht,2h 2m,122,ok,2026-07-26T01:37:28.535319
"3081HS, Rotterdam",Teylingen,50m,50,ok,2026-07-26T01:37:59.975977
"3081HS, Rotterdam",Ouder-Amstel,1h 29m,89,ok,2026-07-26T01:38:17.210203
"3081HS, Rotterdam",Ossendrecht,2h 10m,130,ok,2026-07-26T01:38:34.430935
"3081HS, Rotterdam",Reusel-De Mierden,2h 21m,141,ok,2026-07-26T01:39:06.239413
"3081HS, Rotterdam",Beesel,2h 47m,167,ok,2026-07-26T01:39:23.220111
"3081HS, Rotterdam",Leudal,3h 17m,197,ok,2026-07-26T01:39:40.237137
"3081HS, Rotterdam",Veghel,2h 11m,131,ok,2026-07-26T01:39:57.251553
"3081HS, Rotterdam",Roosteren,2h 50m,170,ok,2026-07-26T01:40:14.408965
"3081HS, Rotterdam",Gulpen-Wittem,3h 27m,207,ok,2026-07-26T01:40:31.721850
"3081HS, Rotterdam",Gooise Meren,1h 51m,111,ok,2026-07-26T01:40:49.003780
"3081HS, Rotterdam",Midden-Drenthe,3h 19m,199,ok,2026-07-26T01:41:06.383752
"3081HS, Rotterdam",Noordoostpolder,1h 58m,118,ok,2026-07-26T01:41:23.856104
"3081HS, Rotterdam",Westerveld,1h 52m,112,ok,2026-07-26T01:41:41.050803
"3081HS, Rotterdam",Eemnes,2h 16m,136,ok,2026-07-26T01:41:58.095486
"3081HS, Rotterdam",Limmen,2h 12m,132,ok,2026-07-26T01:42:15.054480
"3081HS, Rotterdam",Wierden,2h 42m,162,ok,2026-07-26T01:42:49.402770
"3081HS, Rotterdam",Borsele,1h 35m,95,ok,2026-07-26T01:43:06.450802
"3081HS, Rotterdam",Drechterland,1h 10m,70,ok,2026-07-26T01:43:23.765906
"3081HS, Rotterdam",Urk,2h 50m,170,ok,2026-07-26T01:43:40.623840
"3081HS, Rotterdam",Vlieland,5h 37m,337,ok,2026-07-26T01:43:57.701488
"3081HS, Rotterdam",Schiermonnikoog,5h 28m,328,ok,2026-07-26T01:44:15.104997
"3081HS, Rotterdam",Westland,1h 11m,71,ok,2026-07-26T01:44:32.188566
"3081HS, Rotterdam",Nissewaard,38m,38,ok,2026-07-26T01:44:49.375841
"3081HS, Rotterdam",Krimpenerwaard,54m,54,ok,2026-07-26T01:45:06.727903
"3081HS, Rotterdam",Molenlanden,3h 26m,206,ok,2026-07-26T01:45:23.956510
"3081HS, Rotterdam",Vijfheerenlanden,1h 7m,67,ok,2026-07-26T01:45:41.420663
"3081HS, Rotterdam",West Betuwe,1h 54m,114,ok,2026-07-26T01:45:58.655985
"3081HS, Rotterdam",Altena,3h 57m,237,ok,2026-07-26T01:46:15.701716
"3081HS, Rotterdam",Land van Cuijk,1h 35m,95,ok,2026-07-26T01:46:33.109832
